کد,عنوان,مشخصه فنی,ماهیت کالا,واحد سنجش (اصلی),مانده از قبل (اصلی),ابتدای دوره (اصلی),ورودی (اصلی),خروجی (اصلی),مانده (اصلی),تعداد در بسته,کد.1,آدرس,Unnamed: 13,کد جدید,نام,تعداد در بسته.1
249301020,ادویه پاش پارمیس1,,محصول نهایی,کارتن,0,0,275,140,135,144,2493010,https://ashkanplastic.com/product/2493010/,,1100312,آبکش تخت 1000,36
249501020,ادویه پاش پارمیس3,,محصول نهایی,کارتن,0,0,325,160,165,60,2495010,https://ashkanplastic.com/product/2495010/,,1100314,آبکش تخت 2000,36
249951010,ادویه پاش سرآشپز,,محصول نهایی,کارتن,0,209,165,244,130,24,2499510,https://ashkanplastic.com/product/2499510/,,1100316,آبکش تخت 3000,36
129003110,آبکش پارمیس 1 الوان,اشکان اشکان,محصول نهایی,بسته,0,76,0,0,76,,1290031,https://ashkanplastic.com/product/1290031/,,1100318,آبکش تخت 4000,24
110031202,آبکش تخت 1000 طوسی,,محصول نهایی,بسته,0,35,96,108,23,36,1100312,https://ashkanplastic.com/product/1100312/,,1100310,آبکش تخت 500,48
110031207,آبکش تخت 1000 کرپ,,محصول نهایی,بسته,0,24,49,37,36,36,1100312,https://ashkanplastic.com/product/1100312/,,1100320,آبکش تخت 5000,24
110031217,آبکش تخت 1000 موکا,,محصول نهایی,بسته,0,29,155,104,80,36,1100312,https://ashkanplastic.com/product/1100312/,,1100322,آبکش تخت 6000,24
110031209,آبکش تخت 1000 وانیلی,,محصول نهایی,بسته,0,45,89,64,70,36,1100312,https://ashkanplastic.com/product/1100312/,,1200010,آبکش چلو 20,48
110031403,آبکش تخت 2000 سفید,,محصول نهایی,بسته,0,7,0.055556,7.055556,0,36,1100314,https://ashkanplastic.com/product/1100314/,,1200012,آبکش چلو 25,36
110031401,آبکش تخت 2000 صورتی,,محصول نهایی,بسته,0,13,0,11,2,36,1100314,https://ashkanplastic.com/product/1100314/,,1200014,آبکش چلو 30,36
110031402,آبکش تخت 2000 طوسی,,محصول نهایی,بسته,0,29,105,113,21,36,1100314,https://ashkanplastic.com/product/1100314/,,1200016,آبکش چلو 35,24
110031407,آبکش تخت 2000 کرپ,,محصول نهایی,بسته,0,29,74,40,63,36,1100314,https://ashkanplastic.com/product/1100314/,,1200018,آبکش چلو 45,24
110031411,آبکش تخت 2000 کرم,,محصول نهایی,بسته,0,37,0,0,37,36,1100314,https://ashkanplastic.com/product/1100314/,,1200020,آبکش چلو 55,18
110031417,آبکش تخت 2000 موکا,,محصول نهایی,بسته,0,24,149,104,69,36,1100314,https://ashkanplastic.com/product/1100314/,,1200022,آبکش چلو 65 (محرم),12
110031409,آبکش تخت 2000 وانیلی,,محصول نهایی,بسته,0,35,90,62,63,36,1100314,https://ashkanplastic.com/product/1100314/,,1605010,آبمیوه گیری بزرگ آسان,36
110031605,آبکش تخت 3000 سبز,,محصول نهایی,بسته,0,0,0.055556,0.055556,0,36,1100316,https://ashkanplastic.com/product/1100316/,,1690010,آبمیوه گیری بهنوش,24
110031603,آبکش تخت 3000 سفید,,محصول نهایی,بسته,0,1,0,1,0,36,1100316,https://ashkanplastic.com/product/1100316/,,1603010,آبمیوه گیری کوچک آسان,48
110031602,آبکش تخت 3000 طوسی,,محصول نهایی,بسته,0,6,141,105,42,36,1100316,https://ashkanplastic.com/product/1100316/,,1625010,آبمیوه گیری لوکس بزرگ اشکان,24
110031607,آبکش تخت 3000 کرپ,,محصول نهایی,بسته,0,18,71,39,50,36,1100316,https://ashkanplastic.com/product/1100316/,,1626010,آبمیوه گیری لوکس سوپر اشکان,18
110031611,آبکش تخت 3000 کرم,,محصول نهایی,بسته,0,52,0,0,52,36,1100316,https://ashkanplastic.com/product/1100316/,,1623010,آبمیوه گیری لوکس کوچک اشکان,48
110031617,آبکش تخت 3000 موکا,,محصول نهایی,بسته,0,12,140,112,40,36,1100316,https://ashkanplastic.com/product/1100316/,,1890010,بادبزن سلطانی,48
110031609,آبکش تخت 3000 وانیلی,,محصول نهایی,بسته,0,32,65,58,39,36,1100316,https://ashkanplastic.com/product/1100316/,,1850010,بادبزن شاندیز,72
110031803,آبکش تخت 4000 سفید,,محصول نهایی,بسته,0,0,0.041667,0.041667,0,24,1100318,https://ashkanplastic.com/product/1100318/,,1890011,بادبزن کولاک,72
110031801,آبکش تخت 4000 صورتی,,محصول نهایی,بسته,0,0,0.25,0.25,0,24,1100318,https://ashkanplastic.com/product/1100318/,,2020010,پادری اشکان,12
110031802,آبکش تخت 4000 طوسی,,محصول نهایی,بسته,0,14,147,135,26,24,1100318,https://ashkanplastic.com/product/1100318/,,2210810,پارچ 2رنگ سیب,24
110031807,آبکش تخت 4000 کرپ,,محصول نهایی,بسته,0,0,90,13,77,24,1100318,https://ashkanplastic.com/product/1100318/,,2220810,پارچ 2رنگ گلبرگ اشکان,12
110031811,آبکش تخت 4000 کرم,,محصول نهایی,بسته,0,17,0,0,17,24,1100318,https://ashkanplastic.com/product/1100318/,,2290010,پارچ الماس,12
110031817,آبکش تخت 4000 موکا,,محصول نهایی,بسته,0,18,126,118,26,24,1100318,https://ashkanplastic.com/product/1100318/,,2270010,پارچ گلرو,24
110031809,آبکش تخت 4000 وانیلی,,محصول نهایی,بسته,0,49,70,84,35,24,1100318,https://ashkanplastic.com/product/1100318/,,2270912,پارچ گلرو (شفاف),24
110031003,آبکش تخت 500 سفید,,محصول نهایی,بسته,0,8,0,8,0,48,1100310,https://ashkanplastic.com/product/1100310/,,2295010,پارچ لامیا بزرگ,18
110031001,آبکش تخت 500 صورتی,,محصول نهایی,بسته,0,10,0.020833,9.020833,1,48,1100310,https://ashkanplastic.com/product/1100310/,,2293010,پارچ لامیا کوچک,24
110031002,آبکش تخت 500 طوسی,,محصول نهایی,بسته,0,85,15,53,47,48,1100310,https://ashkanplastic.com/product/1100310/,,2290020,پارچ موج مدل 103 شفاف,12
110031007,آبکش تخت 500 کرپ,,محصول نهایی,بسته,0,0,40,5,35,48,1100310,https://ashkanplastic.com/product/1100310/,,7120020,پیمانه لوکس مدرج اشکان,36
110031017,آبکش تخت 500 موکا,,محصول نهایی,بسته,0,69,30,64,35,48,1100310,https://ashkanplastic.com/product/1100310/,,6560010,تفاله گیر روشا,48
