product_id,product_name,variant_sku,variant_name,technical_spec,product_type,unit,stock,pack_quantity,availability,ashkan_url,price,image_1,image_2,product_pack_quantity,variant_count,total_product_stock,product_availability,main_image,display_status
2493010,ادویه پاش پارمیس 1,249301020,ادویه پاش پارمیس1,12,محصول نهایی,کارتن,135.0,144.0,موجود,https://ashkanplastic.com/product/2493010/,,,,144.0,1,135.0,موجود,,فعال
2495010,ادویه پاش پارمیس 3,249501020,ادویه پاش پارمیس3,12,محصول نهایی,کارتن,165.0,60.0,موجود,https://ashkanplastic.com/product/2495010/,,,,60.0,1,165.0,موجود,,فعال
2499510,جا ادویه طبقاتی سرآشپز,249951010,ادویه پاش سرآشپز,12,محصول نهایی,کارتن,130.0,24.0,موجود,https://ashkanplastic.com/product/2499510/,,,,24.0,1,130.0,موجود,,فعال
1290031,آبکش پارمیس 1 الوان,129003110,آبکش پارمیس 1 الوان,اشکان اشکان,محصول نهایی,بسته,76.0,,موجود,https://ashkanplastic.com/product/1290031/,,,,,1,76.0,موجود,,فعال
1100312,آبکش تخت 1000,110031202,آبکش تخت 1000 طوسی,12,محصول نهایی,بسته,23.0,36.0,موجود,https://ashkanplastic.com/product/1100312/,,,,36.0,4,209.0,موجود,,فعال
1100312,آبکش تخت 1000,110031207,آبکش تخت 1000 کرپ,12,محصول نهایی,بسته,36.0,36.0,موجود,https://ashkanplastic.com/product/1100312/,,,,36.0,4,209.0,موجود,,فعال
1100312,آبکش تخت 1000,110031217,آبکش تخت 1000 موکا,12,محصول نهایی,بسته,80.0,36.0,موجود,https://ashkanplastic.com/product/1100312/,,,,36.0,4,209.0,موجود,,فعال
1100312,آبکش تخت 1000,110031209,آبکش تخت 1000 وانیلی,12,محصول نهایی,بسته,70.0,36.0,موجود,https://ashkanplastic.com/product/1100312/,,,,36.0,4,209.0,موجود,,فعال
1100314,آبکش تخت 2000,110031403,آبکش تخت 2000 سفید,12,محصول نهایی,بسته,0.0,36.0,ناموجود,https://ashkanplastic.com/product/1100314/,,,,36.0,7,255.0,موجود,,فعال
1100314,آبکش تخت 2000,110031401,آبکش تخت 2000 صورتی,12,محصول نهایی,بسته,2.0,36.0,موجود,https://ashkanplastic.com/product/1100314/,,,,36.0,7,255.0,موجود,,فعال
1100314,آبکش تخت 2000,110031402,آبکش تخت 2000 طوسی,12,محصول نهایی,بسته,21.0,36.0,موجود,https://ashkanplastic.com/product/1100314/,,,,36.0,7,255.0,موجود,,فعال
1100314,آبکش تخت 2000,110031407,آبکش تخت 2000 کرپ,12,محصول نهایی,بسته,63.0,36.0,موجود,https://ashkanplastic.com/product/1100314/,,,,36.0,7,255.0,موجود,,فعال
1100314,آبکش تخت 2000,110031411,آبکش تخت 2000 کرم,12,محصول نهایی,بسته,37.0,36.0,موجود,https://ashkanplastic.com/product/1100314/,,,,36.0,7,255.0,موجود,,فعال
1100314,آبکش تخت 2000,110031417,آبکش تخت 2000 موکا,12,محصول نهایی,بسته,69.0,36.0,موجود,https://ashkanplastic.com/product/1100314/,,,,36.0,7,255.0,موجود,,فعال
1100314,آبکش تخت 2000,110031409,آبکش تخت 2000 وانیلی,12,محصول نهایی,بسته,63.0,36.0,موجود,https://ashkanplastic.com/product/1100314/,,,,36.0,7,255.0,موجود,,فعال
1100316,آبکش تخت 3000,110031605,آبکش تخت 3000 سبز,12,محصول نهایی,بسته,0.0,36.0,ناموجود,https://ashkanplastic.com/product/1100316/,,,,36.0,7,223.0,موجود,,فعال
1100316,آبکش تخت 3000,110031603,آبکش تخت 3000 سفید,12,محصول نهایی,بسته,0.0,36.0,ناموجود,https://ashkanplastic.com/product/1100316/,,,,36.0,7,223.0,موجود,,فعال
1100316,آبکش تخت 3000,110031602,آبکش تخت 3000 طوسی,12,محصول نهایی,بسته,42.0,36.0,موجود,https://ashkanplastic.com/product/1100316/,,,,36.0,7,223.0,موجود,,فعال
1100316,آبکش تخت 3000,110031607,آبکش تخت 3000 کرپ,12,محصول نهایی,بسته,50.0,36.0,موجود,https://ashkanplastic.com/product/1100316/,,,,36.0,7,223.0,موجود,,فعال
1100316,آبکش تخت 3000,110031611,آبکش تخت 3000 کرم,12,محصول نهایی,بسته,52.0,36.0,موجود,https://ashkanplastic.com/product/1100316/,,,,36.0,7,223.0,موجود,,فعال
1100316,آبکش تخت 3000,110031617,آبکش تخت 3000 موکا,12,محصول نهایی,بسته,40.0,36.0,موجود,https://ashkanplastic.com/product/1100316/,,,,36.0,7,223.0,موجود,,فعال
1100316,آبکش تخت 3000,110031609,آبکش تخت 3000 وانیلی,12,محصول نهایی,بسته,39.0,36.0,موجود,https://ashkanplastic.com/product/1100316/,,,,36.0,7,223.0,موجود,,فعال
1100318,آبکش تخت 4000,110031803,آبکش تخت 4000 سفید,12,محصول نهایی,بسته,0.0,24.0,ناموجود,https://ashkanplastic.com/product/1100318/,,,,24.0,7,181.0,موجود,,فعال
1100318,آبکش تخت 4000,110031801,آبکش تخت 4000 صورتی,12,محصول نهایی,بسته,0.0,24.0,ناموجود,https://ashkanplastic.com/product/1100318/,,,,24.0,7,181.0,موجود,,فعال
1100318,آبکش تخت 4000,110031802,آبکش تخت 4000 طوسی,12,محصول نهایی,بسته,26.0,24.0,موجود,https://ashkanplastic.com/product/1100318/,,,,24.0,7,181.0,موجود,,فعال
1100318,آبکش تخت 4000,110031807,آبکش تخت 4000 کرپ,12,محصول نهایی,بسته,77.0,24.0,موجود,https://ashkanplastic.com/product/1100318/,,,,24.0,7,181.0,موجود,,فعال
1100318,آبکش تخت 4000,110031811,آبکش تخت 4000 کرم,12,محصول نهایی,بسته,17.0,24.0,موجود,https://ashkanplastic.com/product/1100318/,,,,24.0,7,181.0,موجود,,فعال
1100318,آبکش تخت 4000,110031817,آبکش تخت 4000 موکا,12,محصول نهایی,بسته,26.0,24.0,موجود,https://ashkanplastic.com/product/1100318/,,,,24.0,7,181.0,موجود,,فعال
1100318,آبکش تخت 4000,110031809,آبکش تخت 4000 وانیلی,12,محصول نهایی,بسته,35.0,24.0,موجود,https://ashkanplastic.com/product/1100318/,,,,24.0,7,181.0,موجود,,فعال
1100310,آبکش تخت 500,110031003,آبکش تخت 500 سفید,12,محصول نهایی,بسته,0.0,48.0,ناموجود,https://ashkanplastic.com/product/1100310/,,,,48.0,6,146.0,موجود,,فعال
1100310,آبکش تخت 500,110031001,آبکش تخت 500 صورتی,12,محصول نهایی,بسته,1.0,48.0,موجود,https://ashkanplastic.com/product/1100310/,,,,48.0,6,146.0,موجود,,فعال
1100310,آبکش تخت 500,110031002,آبکش تخت 500 طوسی,12,محصول نهایی,بسته,47.0,48.0,موجود,https://ashkanplastic.com/product/1100310/,,,,48.0,6,146.0,موجود,,فعال
1100310,آبکش تخت 500,110031007,آبکش تخت 500 کرپ,12,محصول نهایی,بسته,35.0,48.0,موجود,https://ashkanplastic.com/product/1100310/,,,,48.0,6,146.0,موجود,,فعال
1100310,آبکش تخت 500,110031017,آبکش تخت 500 موکا,12,محصول نهایی,بسته,35.0,48.0,موجود,https://ashkanplastic.com/product/1100310/,,,,48.0,6,146.0,موجود,,فعال
1100310,آبکش تخت 500,110031009,آبکش تخت 500 وانیلی,12,محصول نهایی,بسته,28.0,48.0,موجود,https://ashkanplastic.com/product/1100310/,,,,48.0,6,146.0,موجود,,فعال
1100320,آبکش تخت 5000,110032001,آبکش تخت 5000 صورتی,12,محصول نهایی,بسته,0.0,24.0,ناموجود,https://ashkanplastic.com/product/1100320/,,,,24.0,5,228.0,موجود,,فعال
1100320,آبکش تخت 5000,110032002,آبکش تخت 5000 طوسی,12,محصول نهایی,بسته,69.0,24.0,موجود,https://ashkanplastic.com/product/1100320/,,,,24.0,5,228.0,موجود,,فعال
1100320,آبکش تخت 5000,110032007,آبکش تخت 5000 کرپ,12,محصول نهایی,بسته,51.0,24.0,موجود,https://ashkanplastic.com/product/1100320/,,,,24.0,5,228.0,موجود,,فعال
