sku_variant,product_name,technical_spec,product_type,unit,opening_balance_previous,period_opening,inbound,outbound_or_value,balance,pack_quantity,product_code,product_url
249301020,ادویه پاش پارمیس1,12,محصول نهایی,کارتن,0,0,275,45000,135,144,2493010,https://ashkanplastic.com/product/2493010/
249501020,ادویه پاش پارمیس3,12,محصول نهایی,کارتن,0,0,325,68000,165,60,2495010,https://ashkanplastic.com/product/2495010/
249951010,ادویه پاش سرآشپز,12,محصول نهایی,کارتن,0,209,165,204000,130,24,2499510,https://ashkanplastic.com/product/2499510/
129003110,آبکش پارمیس 1 الوان,اشکان اشکان,محصول نهایی,بسته,0,76,0,,76,,1290031,https://ashkanplastic.com/product/1290031/
110031202,آبکش تخت 1000 طوسی,12,محصول نهایی,بسته,0,35,96,54000,23,36,1100312,https://ashkanplastic.com/product/1100312/
110031207,آبکش تخت 1000 کرپ,12,محصول نهایی,بسته,0,24,49,54000,36,36,1100312,https://ashkanplastic.com/product/1100312/
110031217,آبکش تخت 1000 موکا,12,محصول نهایی,بسته,0,29,155,54000,80,36,1100312,https://ashkanplastic.com/product/1100312/
110031209,آبکش تخت 1000 وانیلی,12,محصول نهایی,بسته,0,45,89,54000,70,36,1100312,https://ashkanplastic.com/product/1100312/
110031403,آبکش تخت 2000 سفید,12,محصول نهایی,بسته,0,7,0.055556,71500,0,36,1100314,https://ashkanplastic.com/product/1100314/
110031401,آبکش تخت 2000 صورتی,12,محصول نهایی,بسته,0,13,0,71500,2,36,1100314,https://ashkanplastic.com/product/1100314/
110031402,آبکش تخت 2000 طوسی,12,محصول نهایی,بسته,0,29,105,71500,21,36,1100314,https://ashkanplastic.com/product/1100314/
110031407,آبکش تخت 2000 کرپ,12,محصول نهایی,بسته,0,29,74,71500,63,36,1100314,https://ashkanplastic.com/product/1100314/
110031411,آبکش تخت 2000 کرم,12,محصول نهایی,بسته,0,37,0,71500,37,36,1100314,https://ashkanplastic.com/product/1100314/
110031417,آبکش تخت 2000 موکا,12,محصول نهایی,بسته,0,24,149,71500,69,36,1100314,https://ashkanplastic.com/product/1100314/
110031409,آبکش تخت 2000 وانیلی,12,محصول نهایی,بسته,0,35,90,71500,63,36,1100314,https://ashkanplastic.com/product/1100314/
110031605,آبکش تخت 3000 سبز,12,محصول نهایی,بسته,0,0,0.055556,96500,0,36,1100316,https://ashkanplastic.com/product/1100316/
110031603,آبکش تخت 3000 سفید,12,محصول نهایی,بسته,0,1,0,96500,0,36,1100316,https://ashkanplastic.com/product/1100316/
110031602,آبکش تخت 3000 طوسی,12,محصول نهایی,بسته,0,6,141,96500,42,36,1100316,https://ashkanplastic.com/product/1100316/
110031607,آبکش تخت 3000 کرپ,12,محصول نهایی,بسته,0,18,71,96500,50,36,1100316,https://ashkanplastic.com/product/1100316/
110031611,آبکش تخت 3000 کرم,12,محصول نهایی,بسته,0,52,0,96500,52,36,1100316,https://ashkanplastic.com/product/1100316/
110031617,آبکش تخت 3000 موکا,12,محصول نهایی,بسته,0,12,140,96500,40,36,1100316,https://ashkanplastic.com/product/1100316/
110031609,آبکش تخت 3000 وانیلی,12,محصول نهایی,بسته,0,32,65,96500,39,36,1100316,https://ashkanplastic.com/product/1100316/
110031803,آبکش تخت 4000 سفید,12,محصول نهایی,بسته,0,0,0.041667,118500,0,24,1100318,https://ashkanplastic.com/product/1100318/
110031801,آبکش تخت 4000 صورتی,12,محصول نهایی,بسته,0,0,0.25,118500,0,24,1100318,https://ashkanplastic.com/product/1100318/
110031802,آبکش تخت 4000 طوسی,12,محصول نهایی,بسته,0,14,147,118500,26,24,1100318,https://ashkanplastic.com/product/1100318/
110031807,آبکش تخت 4000 کرپ,12,محصول نهایی,بسته,0,0,90,118500,77,24,1100318,https://ashkanplastic.com/product/1100318/
110031811,آبکش تخت 4000 کرم,12,محصول نهایی,بسته,0,17,0,118500,17,24,1100318,https://ashkanplastic.com/product/1100318/
110031817,آبکش تخت 4000 موکا,12,محصول نهایی,بسته,0,18,126,118500,26,24,1100318,https://ashkanplastic.com/product/1100318/
110031809,آبکش تخت 4000 وانیلی,12,محصول نهایی,بسته,0,49,70,118500,35,24,1100318,https://ashkanplastic.com/product/1100318/
